Sample description: b'Au'
Sample: b'Au'  c= 0 mg/ml  Code: 
Parent(s): /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86116_eiger.dat /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86118_eiger.dat
  3.601165e-02   6.307703e-01   6.337715e-03
  3.608271e-02   6.453570e-01   6.391430e-03
  3.615378e-02   6.309448e-01   6.314354e-03
  3.622484e-02   6.233473e-01   6.281304e-03
  3.629590e-02   6.387658e-01   6.340190e-03
  3.636696e-02   6.239685e-01   6.275091e-03
  3.643803e-02   6.289719e-01   6.278417e-03
  3.650909e-02   6.293811e-01   6.283219e-03
  3.658015e-02   6.226368e-01   6.252955e-03
  3.665121e-02   6.137193e-01   6.232593e-03
  3.672228e-02   6.191463e-01   6.233784e-03
  3.679334e-02   6.096750e-01   6.192412e-03
  3.686440e-02   6.133530e-01   6.210655e-03
  3.693546e-02   6.018563e-01   6.168089e-03
  3.700653e-02   6.115403e-01   6.197881e-03
  3.707759e-02   6.071649e-01   6.158778e-03
  3.714865e-02   5.983065e-01   6.140670e-03
  3.721972e-02   5.955205e-01   6.111178e-03
  3.729078e-02   6.066434e-01   6.159612e-03
  3.736184e-02   5.896365e-01   6.093847e-03
  3.743290e-02   5.830236e-01   6.038569e-03
  3.750397e-02   5.978647e-01   6.107256e-03
